,Item Name,Date,Average Price,Total Trade Volume,High Price Trade Volume,Low Price Trade Volume,Average High Price,Average Low Price,,
0,Babydragon bones,2023-03-13 6:50,980,12,0,12,,980,,6:50:00
1,Babydragon bones,2023-03-13 6:55,1001,2000,2000,0,1001,,,6:55:00
2,Babydragon bones,2023-03-13 7:00,993.7307692,104,102,2,994,980,,7:00:00
3,Babydragon bones,2023-03-13 7:05,1073,1,1,0,1073,,,7:05:00
4,Babydragon bones,2023-03-13 7:10,1024,205,0,205,,1024,,7:10:00
5,Babydragon bones,2023-03-13 7:15,1024,39,0,39,,1024,,7:15:00
6,Babydragon bones,2023-03-13 7:20,1024,231,0,231,,1024,,7:20:00
7,Babydragon bones,2023-03-13 7:25,1048.5,2,1,1,1073,1024,,7:25:00
8,Babydragon bones,2023-03-13 7:30,1024,90,0,90,,1024,,7:30:00
9,Babydragon bones,2023-03-13 7:35,1024,18,0,18,,1024,,7:35:00
10,Babydragon bones,2023-03-13 7:40,1005,1082,0,1082,,1005,,7:40:00
11,Babydragon bones,2023-03-13 7:45,980,14,0,14,,980,,7:45:00
12,Babydragon bones,2023-03-13 7:50,980,423,0,423,,980,,7:50:00
13,Babydragon bones,2023-03-13 7:55,980,129,0,129,,980,,7:55:00
14,Babydragon bones,2023-03-13 8:00,1007.125,24,7,17,1073,980,,8:00:00
15,Babydragon bones,2023-03-13 8:05,990.4615385,260,136,124,1000,980,,8:05:00
16,Babydragon bones,2023-03-13 8:10,980,99,0,99,,980,,8:10:00
17,Babydragon bones,2023-03-13 8:15,1002.425976,1101,370,731,1025,991,,8:15:00
18,Babydragon bones,2023-03-13 8:20,1050,6,0,6,,1050,,8:20:00
19,Babydragon bones,2023-03-13 8:25,1042.672466,3334,270,3064,1073,1040,,8:25:00
20,Babydragon bones,2023-03-13 8:30,987.2502434,2054,200,1854,1073,978,,8:30:00
21,Babydragon bones,2023-03-13 8:35,976,13,0,13,,976,,8:35:00
